#Mean Central England Temperature 1659 to 2022
#Units: Degrees Celsius
#Notes:
#1) seasonal values are calculated from the monthly data by
#   averageing the three monthly values
#2) Seasons are Win=DJF   Spr=MAM   Sum=JJA   Aut=SON
#3) Winter: year refers to January
#4) Seasonal data exist for Spring 1659 onwards
#
# Year   Win    Spr    Sum    Aut  Annual
  1659  -99.9    8.0   15.0    9.3    8.9
  1660    2.0    8.7   15.0    9.7    9.1
  1661    5.0    8.3   14.7   10.7    9.8
  1662    5.7    8.3   15.0   10.0    9.5
  1663    1.7    7.3   14.7   10.0    8.6
  1664    4.7    8.0   15.7    9.3    9.3
  1665    2.0    7.3   15.0    9.3    8.3
  1666    3.6    8.3   16.7   10.3    9.9
  1667    2.3    6.3   16.0    9.3    8.5
  1668    4.3    7.7   15.3   10.0    9.5
  1669    3.3    7.7   16.0   10.0    9.0
  1670    2.0    8.0   15.3   10.0    9.0
  1671    3.5    8.0   15.0    9.3    9.1
  1672    2.4    8.0   15.0    9.7    8.8
  1673    3.7    7.8   15.2    8.0    8.4
  1674    2.5    6.5   13.7    8.7    8.1
  1675    2.9    6.8   13.7    7.7    7.9
  1676    5.0    7.7   16.8    7.5    8.8
  1677    1.9    8.2   15.4    8.7    8.8
  1678    1.8    7.2   15.3    9.8    8.4
  1679    1.0    7.8   16.2    9.2    8.8
  1680    3.2    7.7   14.7   10.5    8.9
  1681    1.0    7.5   15.0   10.7    8.7
  1682    3.7    7.5   14.5    9.3    9.0
  1683    3.9    8.8   15.0    8.0    8.5
  1684   -1.2    7.5   15.5    8.7    8.0
  1685    2.6    8.7   14.3   10.0    9.2
  1686    6.3    9.3   15.5    9.5   10.2
  1687    4.7    7.3   14.5    9.4    9.0
  1688    3.7    6.5   14.5    7.7    7.9
  1689    2.6    8.0   14.4    8.7    8.6
  1690    4.3    7.3   14.7    9.3    8.9
  1691    2.2    7.2   15.2    8.3    8.2
  1692    1.9    6.8   14.5    7.7    7.7
  1693    3.8    6.2   14.8    9.2    8.5
  1694    2.6    6.7   13.7    7.8    7.7
  1695    0.7    6.0   13.2    8.7    7.3
  1696    4.7    6.5   14.7    8.7    8.5
  1697    1.4    8.0   14.3    8.3    8.1
  1698    1.0    6.5   14.0    8.7    7.7
  1699    3.4    6.8   15.5    9.4    8.8
  1700    3.4    7.3   14.5    8.9    8.6
  1701    3.2    6.1   16.2    9.5    8.7
  1702    5.0    7.4   14.8    9.6    9.3
  1703    3.5    8.6   15.4    8.5    9.1
  1704    3.5    8.4   16.0    8.9    9.1
  1705    3.4    7.8   15.1    8.2    8.7
  1706    3.8    9.2   16.1    9.9    9.8
  1707    3.8    8.2   16.3    9.7    9.4
  1708    4.5    8.8   15.3   10.1    9.7
  1709    1.1    8.0   15.2   10.3    8.7
  1710    3.2    8.0   15.0   10.3    9.5
  1711    4.9    8.7   15.3    9.8    9.4
  1712    3.8    7.8   15.3    9.5    9.1
  1713    4.1    6.8   14.2    9.3    8.6
